subperiod,strategy,n_months,realized_vol,mad_nonoverlap,sharpe_excess
2010-2019,garch_skewt,120,0.19889275105489182,0.06242168303247089,1.0045231498745923
2010-2019,garch_normal,120,0.1891429332328092,0.06148551660288328,1.0127801322848504
2010-2019,gjr_skewt,120,0.193495441755646,0.062489526213585896,0.9779465342618959
2010-2019,gjr_normal,120,0.1853060679533576,0.061646157179057255,0.9861421229067343
2010-2019,egarch_skewt,120,0.20341516756122513,0.06475610667777604,0.9525509817756975
2010-2019,egarch_normal,120,0.19177198971285694,0.06273350668878572,0.9717946365880473
2010-2019,ewma,120,0.22871840624515655,0.07137493163280298,0.9763912275601808
2010-2019,rv,120,0.2313474036808136,0.07157995409519573,0.9915968329859907
2010-2019,har,120,0.19310287983753624,0.06358708517266544,0.9616208330125083
2010-2019,rfsv,120,0.1951612773522081,0.06271332461430407,0.9627156191357048
2010-2019,rfsv_h002,120,0.1974321742192108,0.0626610175146811,0.9637218905022399
2010-2019,rfsv_h005,120,0.19458363371952492,0.06274915519219249,0.9624159308375815
2010-2019,rfsv_h010,120,0.18945571290122395,0.0630448304571306,0.9609950180222301
2010-2019,rfsv_h015,120,0.18391459336775565,0.06381353011918367,0.9607653053224894
2010-2019,bench_buy_hold,120,0.17256690678158748,0.07187845957820516,1.0029769063042973
2010-2019,bench_const_lev,120,0.12820933716990784,0.09083251411264547,1.0026761602756034
2010-2019,bench_uncond_vol,120,0.12513237029509874,0.09277278666787839,1.0040163146621908
2020,garch_skewt,12,0.2568625132994743,0.09406561648313283,1.0215033782612768
2020,garch_normal,12,0.250231023216315,0.087596763145957,1.0868652296416648
2020,gjr_skewt,12,0.24476025731737375,0.08891073022324826,1.106094890461834
2020,gjr_normal,12,0.2405875046742789,0.08377730966561149,1.15075275095248
2020,egarch_skewt,12,0.260087734420503,0.09567568407107434,1.083305526939914
2020,egarch_normal,12,0.25631006910841275,0.08796403626422451,1.1447403133136456
2020,ewma,12,0.27329575930601624,0.11274626775532846,0.830394466387915
2020,rv,12,0.27493163821520594,0.11358213759114638,0.9036546447627761
2020,har,12,0.23305252011195746,0.07879431187286626,1.1924688156312084
2020,rfsv,12,0.2898548009549872,0.09441849438019127,1.0714488207131911
2020,rfsv_h002,12,0.29570019737007214,0.09715061267910785,1.0646221451365963
2020,rfsv_h005,12,0.2898744972583821,0.09437935819592974,1.0731655745128423
2020,rfsv_h010,12,0.2814040931828652,0.09018028378241348,1.09016445650132
2020,rfsv_h015,12,0.2746087268025817,0.08683977876603272,1.110214763539271
2020,bench_buy_hold,12,0.35632454625081067,0.13516570246428716,1.2726785123758415
2020,bench_const_lev,12,0.26350711140052013,0.08976995830651026,1.261042660733026
2020,bench_uncond_vol,12,0.26914097312034063,0.0915863974397199,1.2481279591480097
2022,garch_skewt,12,0.2088798335287569,0.02885685259111682,-1.3081387324101903
2022,garch_normal,12,0.21039011923841217,0.028541685307553202,-1.3055194812711348
2022,gjr_skewt,12,0.20957077435155178,0.02530054776064923,-1.442923568994804
2022,gjr_normal,12,0.21088728226484113,0.024814219272422024,-1.423711285044704
2022,egarch_skewt,12,0.1985759791268956,0.017819618666419332,-1.4015659174541844
2022,egarch_normal,12,0.20560016534864808,0.019488531387395033,-1.3694939901085805
2022,ewma,12,0.2079778009713145,0.032406886049624516,-1.2980681223817556
2022,rv,12,0.23216097836189975,0.043798821395904755,-1.3492941142890404
2022,har,12,0.23186824718388108,0.04108260751634149,-1.468855550815808
2022,rfsv,12,0.24804538487520003,0.056279177213387446,-1.3772286944920957
2022,rfsv_h002,12,0.25121134612815493,0.05883176123821048,-1.3719190850277783
2022,rfsv_h005,12,0.24843505587130701,0.05659228387326711,-1.3766017370456345
2022,rfsv_h010,12,0.24476131603746923,0.053549556530738895,-1.3807200530704231
2022,rfsv_h015,12,0.24232192068893296,0.051405129306907,-1.3795709511960448
2022,bench_buy_hold,12,0.3215022540806995,0.12663797089925025,-1.1226583014305909
2022,bench_const_lev,12,0.23829821319826966,0.04546323229400136,-1.1390322626608138
2022,bench_uncond_vol,12,0.2427567374743625,0.04943393242445351,-1.1387927781688691
